Date,Catégorie,Description,Montant
2024-01-01,Alimentation,Achat de courses,50.75
2024-01-15,Transport,Abonnement de bus,45.00
2024-02-03,Loisirs,Cinéma,12.50
2024-02-20,Santé,Achat de médicaments,30.20
2024-03-05,Alimentation,Achat de courses,60.00
2024-03-18,Transport,Essence,40.00
2024-04-12,Loisirs,Concert,75.00
2024-04-28,Santé,Consultation médicale,90.00
2024-05-09,Alimentation,Achat de courses,55.00
2024-05-20,Transport,Abonnement de bus,45.00
2024-06-11,Loisirs,Museum,20.00
2024-06-25,Santé,Achat de vitamines,25.00
2024-07-07,Alimentation,Achat de courses,65.00
2024-07-15,Transport,Essence,50.00
2024-08-05,Loisirs,Sport,30.00
2024-08-22,Santé,Consultation dentaire,120.00
2024-09-03,Alimentation,Achat de courses,58.00
2024-09-18,Transport,Abonnement de bus,45.00
2024-10-10,Loisirs,Concert,80.00
2024-10-25,Santé,Achat de lunettes,150.00
2024-11-05,Alimentation,Achat de courses,70.00
2024-11-20,Transport,Essence,45.00
2024-12-08,Loisirs,Cinéma,14.00
2024-12-22,Santé,Consultation médicale,95.00
